x1,y1,z1,x2,y2,z2,x3,y3,z3,label
6820.32,-5588.08,10034.64,8583.88,-14276.34,1840.56,-7565.16,-1473.24,13448.44,'dead'
11688.4,-5192.6,9741.2,7285.4,-14234.4,-1818.3,-7255.8,-1770.6,14840.75,'dead'
12505.4,-9866.666667,3902.733333,7696.666667,-15592.4,-1629.6,-6625.4,-4319.4,12084.8,'dead'
5941,-15046.13333,-1542.933333,4042.933333,-15915.4,-1483,-6965.133333,-5555.666667,8895.533333,'dead'
4262.133333,-12042.86667,11982.13333,5946.2,-13046.73333,-635.9333333,-1870.2,-9795.266667,6648.6,'dead'
7590.866667,-13973.2,277.4,4724.4,-15495.86667,-850.6,-8674.933333,-7204.666667,8637.4,'dead'
10533.6,-6793.4,6176,4726.4,-10230.2,3971,-11485.2,-2481.2,10929.2,'dead'
6824.7,-15061.46,-325.14,7227.36,-14796.88,-183.46,1237.98,-7631.38,7636.7,'dead'
11145.8,-5056.2,15448.2,3715.2,-14459,1769,-9164,268.4,81617.8,'dead'
8608.6,-10093,3014.4,3022.2,-14916,1253.6,-7999.2,-3272.6,12849.6,'dead'
10607.8,-11500.6,-1937.2,1071.6,-8394.8,1078852.2,-8191.4,-1031.45,13335.35,'dead'
7135.4,-4902.666667,10041.93333,10340.33333,-9423.6,3251.333333,-4942.333333,-6939.4,10844.73333,'dead'
-1581.4,-8588,11536.2,-5524.2,-589.6,16112.5,-7939.2,-1535.2,14284,'dead'
3188.8,-4795.666667,10926.66667,8703.133333,-12610.66667,9301.1,-7629.666667,-4665.233333,40483.16667,'dead'
9747.866667,-10618.73333,3960.866667,592.0666667,-10559.6,6267.466667,-8010,-2554.466667,14342.53333,'dead'
-6739.4,-3105.233333,13995.83333,2864.733333,-10723,12124.66667,-8152.633333,-9615.966667,11371.98333,'dead'
-3897.695238,-15903.18095,490.0952381,-3350.419048,-11234.35238,8671.904762,-4879.914286,-11413.58095,9182.028571,'dead'
-4977.966667,-13047.5,6957,539.8666667,-8875.2,13082.96667,-6102.366667,-10559.3,8451.766667,'dead'
-43.8,-13729.06667,8807.6,-3917.6,-12952.66667,9146.933333,-9688.266667,-7821.733333,12036.28333,'dead'
453.6,-12551.4,11105.2,-199.4,-11951,10846.4,-9170.6,-11373.6,5740.6,'dead'
-7295.8,-10382.6,8457.6,-2291.8,-12276,9578.4,-9962.8,-9703.8,7333.6,'dead'
-2428,-11571.6,9478,-4656,-11780.4,7520.6,-9867.8,-9751.4,7591.15,'dead'
-3092.2,-11798.2,10655.4,-6904.6,-11882.6,7882.2,-10383.2,-11119.8,5681.15,'dead'
-1584.8,-12362.8,10817.6,-6500.8,-11584.4,7462.8,-10083.2,-10474,5386.6,'dead'
-753.2,-10006.2,11424.6,-6222,-11977.8,8106.2,-11366.2,-10730.8,7492.2,'dead'
-4154.4,-11147.8,22126.2,-2733,-11132.6,15083.8,-10270,-9728,6140.6,'dead'
-595.2,-9944.4,12387.4,-1811.2,-11148.2,10978.4,-6209.2,-9879.2,10299.8,'dead'
